# target delivery_s colour_int
estrack-kiruna 3.6 16090392
estrack-santa-maria 4.1 16090392
estrack-new-norcia 4.3 16090392
estrack-malargue 5.3 16090392
estrack-cebreros 7.8 16090392
estrack-kourou 14.0 16090392
estrack-redu 27.4 16090392
