# target delivery_s colour_int
oneweb-9114 172.0 5011624
oneweb-9096 175.4 5011624
oneweb-9108 182.9 5011624
oneweb-9095 183.1 5011624
oneweb-9129 184.3 5011624
oneweb-0018 184.7 5011624
oneweb-9039 185.1 5011624
oneweb-9008 186.7 5011624
oneweb-9027 187.1 5011624
oneweb-9081 187.4 5011624
oneweb-0054 187.5 5011624
oneweb-9029 187.5 5011624
oneweb-9112 187.7 5011624
oneweb-9014 187.8 5011624
oneweb-9128 187.9 5011624
oneweb-9047 188.1 5011624
oneweb-9016 188.2 5011624
oneweb-9074 188.2 5011624
oneweb-9066 188.3 5011624
oneweb-9025 188.3 5011624
oneweb-9073 188.9 5011624
oneweb-9110 189.1 5011624
oneweb-9113 189.2 5011624
oneweb-9010 189.4 5011624
oneweb-9028 189.5 5011624
oneweb-9015 189.5 5011624
oneweb-9098 189.7 5011624
oneweb-9097 190.0 5011624
oneweb-9046 190.0 5011624
oneweb-9038 190.2 5011624
oneweb-9111 190.2 5011624
oneweb-9023 190.4 5011624
oneweb-9048 190.4 5011624
oneweb-9049 190.5 5011624
oneweb-0069 190.5 5011624
oneweb-9065 190.5 5011624
oneweb-9060 190.6 5011624
oneweb-0093 190.7 5011624
oneweb-9130 190.7 5011624
oneweb-9042 190.8 5011624
oneweb-9024 191.5 5011624
oneweb-9054 191.5 5011624
oneweb-9011 191.6 5011624
oneweb-9079 191.7 5011624
oneweb-9093 191.7 5011624
oneweb-9075 191.8 5011624
oneweb-9041 192.0 5011624
oneweb-9031 192.2 5011624
oneweb-9059 192.4 5011624
oneweb-9007 192.4 5011624
oneweb-9057 192.4 5011624
oneweb-0066 192.6 5011624
oneweb-9061 192.8 5011624
oneweb-9055 193.0 5011624
oneweb-9064 193.1 5011624
oneweb-0090 193.3 5011624
oneweb-9126 193.3 5011624
oneweb-9044 193.3 5011624
oneweb-9030 193.4 5011624
oneweb-9033 193.6 5011624
