# target delivery_s colour_int
estrack-kiruna 14.3 16090392
estrack-cebreros 14.3 16090392
estrack-kourou 14.3 16090392
oneweb-0023 16.3 5011624
estrack-santa-maria 17.3 16090392
estrack-redu 18.8 16090392
oneweb-0031 21.7 5011624
oneweb-0011 23.7 5011624
oneweb-0028 26.1 5011624
oneweb-0017 26.8 5011624
oneweb-0008 27.1 5546571
oneweb-0010 31.5 5011624
oneweb-0020 33.1 5011624
oneweb-0021 34.1 5011624
oneweb-0025 35.0 5011624
oneweb-0024 35.0 5011624
oneweb-0037 35.0 5011624
oneweb-0029 36.0 5011624
oneweb-0038 41.1 5011624
oneweb-0007 54.7 5011624
oneweb-0012 55.8 5011624
oneweb-0006 71.3 5011624
oneweb-0027 72.7 5546571
oneweb-0026 74.8 5011624
oneweb-0018 79.8 5546571
estrack-new-norcia 197.3 16090392
estrack-malargue 197.7 16090392
