# target delivery_s colour_int
estrack-new-norcia 864.5 16090392
estrack-kourou 882.1 16090392
estrack-redu 885.5 16090392
estrack-santa-maria 891.3 16090392
estrack-kiruna 891.8 16090392
estrack-cebreros 895.0 16090392
estrack-malargue 897.2 16090392
