# target delivery_s colour_int
estrack-kourou 39.9 16090392
estrack-malargue 40.4 16090392
estrack-santa-maria 40.4 16090392
estrack-kiruna 40.5 16090392
estrack-redu 40.5 16090392
estrack-new-norcia 40.5 16090392
estrack-cebreros 40.6 16090392
oneweb-9035 45.9 5546571
oneweb-0032 51.5 5546571
oneweb-0035 51.6 5546571
oneweb-0048 51.9 5546571
oneweb-0098 52.3 5546571
oneweb-0013 52.3 5546571
oneweb-0057 52.6 5546571
oneweb-0062 52.7 5546571
oneweb-0010 53.5 5546571
oneweb-0083 53.5 5546571
oneweb-0049 54.1 5546571
oneweb-0096 54.2 5546571
oneweb-0017 54.7 5546571
oneweb-0047 55.1 5546571
oneweb-0085 55.3 5546571
oneweb-0090 55.7 5546571
oneweb-0028 55.7 5546571
oneweb-0042 56.7 5546571
oneweb-0023 57.0 5546571
oneweb-0054 57.1 5546571
oneweb-0011 57.2 5546571
oneweb-0058 59.1 5546571
oneweb-0031 63.2 5546571
oneweb-0052 65.4 5546571
oneweb-9020 75.7 5546571
oneweb-9012 77.9 5546571
oneweb-0055 81.5 5546571
oneweb-0040 83.2 5546571
oneweb-0020 85.2 5546571
oneweb-0007 89.4 5546571
oneweb-9000 91.5 5546571
oneweb-9001 93.6 5546571
oneweb-9036 93.7 5546571
oneweb-0059 96.9 5546571
oneweb-0067 98.1 5546571
oneweb-0008 98.3 5546571
oneweb-9015 98.5 5546571
oneweb-0018 99.0 5546571
oneweb-9028 100.4 5546571
oneweb-9011 102.3 5546571
oneweb-9004 102.7 5546571
oneweb-9023 103.9 5546571
oneweb-0093 106.5 5546571
oneweb-0056 106.7 5546571
oneweb-9039 106.9 5546571
oneweb-9003 107.3 5546571
oneweb-9029 107.4 5546571
oneweb-9037 108.0 5546571
oneweb-0025 108.1 5546571
oneweb-0006 108.9 5546571
oneweb-0069 108.9 5546571
oneweb-0033 109.4 5546571
oneweb-9030 110.5 5546571
