# target delivery_s colour_int
oneweb-9094 288.5 5011624
oneweb-9114 295.3 5011624
oneweb-9129 295.4 5011624
oneweb-0090 303.9 5011624
oneweb-9112 304.1 5011624
oneweb-9049 304.9 5011624
oneweb-9025 305.6 5011624
oneweb-9128 305.9 5011624
oneweb-9113 306.7 5011624
oneweb-9091 307.0 5011624
oneweb-9108 307.0 5011624
oneweb-9111 308.3 5011624
oneweb-9095 308.7 5011624
oneweb-0006 310.9 5011624
oneweb-9090 311.3 5011624
oneweb-9031 311.6 5011624
oneweb-0066 312.5 5011624
oneweb-9077 312.6 5011624
oneweb-9026 313.0 5011624
oneweb-9080 313.4 5011624
oneweb-9015 314.3 5011624
oneweb-9064 315.4 5011624
oneweb-9092 316.0 5011624
oneweb-9061 316.0 5011624
oneweb-0054 316.3 5011624
oneweb-9096 316.8 5011624
oneweb-9008 319.0 5011624
oneweb-9059 319.3 5011624
oneweb-9076 319.6 5011624
oneweb-9024 320.1 5011624
oneweb-9044 320.3 5011624
oneweb-9127 320.4 5011624
oneweb-9041 321.9 5011624
oneweb-9014 322.0 5011624
oneweb-9028 322.5 5011624
oneweb-9058 322.5 5011624
oneweb-9079 322.9 5011624
oneweb-9097 323.4 5011624
oneweb-0093 324.1 5011624
oneweb-9063 324.5 5011624
oneweb-9007 324.5 5011624
oneweb-9074 325.0 5011624
oneweb-9093 325.9 5011624
oneweb-9075 326.1 5011624
oneweb-9012 326.1 5011624
oneweb-9011 326.3 5011624
oneweb-9073 327.1 5011624
oneweb-9005 328.9 5011624
oneweb-9110 329.4 5011624
oneweb-0018 332.0 5011624
oneweb-9043 332.2 5011624
oneweb-9027 332.3 5011624
oneweb-9040 332.6 5011624
oneweb-9042 332.6 5011624
oneweb-9045 332.8 5011624
oneweb-9065 333.2 5011624
oneweb-9038 334.0 5011624
oneweb-0052 335.3 5011624
oneweb-0069 335.5 5011624
oneweb-9029 336.1 5011624
