# target delivery_s colour_int
estrack-cebreros 868.2 16090392
estrack-redu 868.3 16090392
estrack-santa-maria 868.3 16090392
estrack-kourou 868.4 16090392
estrack-malargue 868.4 16090392
estrack-kiruna 868.7 16090392
estrack-new-norcia 868.7 16090392
