# target delivery_s colour_int
estrack-malargue 16.7 16090392
estrack-kourou 17.4 16090392
estrack-redu 17.8 16090392
estrack-kiruna 18.0 16090392
estrack-santa-maria 18.0 16090392
estrack-cebreros 18.1 16090392
estrack-new-norcia 18.9 16090392
oneweb-0614 39.6 5011624
orbcomm-fm06 44.2 5011624
oneweb-0173 52.0 5546571
lemur-2-squirrelcomm 52.5 5546571
flock-4h-9 1830.0 5546571
flock-4be-17 3136.5 5011624
