# target delivery_s colour_int
oneweb-0006 13.3 5011624
estrack-redu 15.7 16090392
estrack-santa-maria 15.7 16090392
estrack-kiruna 15.8 16090392
estrack-kourou 15.8 16090392
estrack-cebreros 15.9 16090392
estrack-malargue 15.9 16090392
estrack-new-norcia 16.0 16090392
oneweb-0023 23.3 5011624
oneweb-0010 28.3 5011624
oneweb-0028 29.0 5011624
oneweb-0017 32.4 5011624
oneweb-0011 34.6 5011624
oneweb-0020 36.6 5011624
oneweb-0025 37.5 5011624
oneweb-0024 37.5 5011624
oneweb-0029 39.3 5011624
oneweb-0038 39.4 5011624
oneweb-0037 42.8 5011624
oneweb-0021 46.7 5011624
oneweb-0031 48.1 5011624
oneweb-0007 49.1 5011624
oneweb-0012 52.6 5011624
oneweb-0027 55.6 5546571
oneweb-0018 62.4 5546571
oneweb-0026 73.8 5011624
