# target delivery_s colour_int
oneweb-0093 115.1 5011624
oneweb-9032 116.1 5011624
oneweb-0066 119.5 5011624
oneweb-9006 119.6 5011624
oneweb-9014 120.7 5011624
oneweb-9026 121.3 5011624
oneweb-9015 123.5 5011624
oneweb-0026 123.6 5011624
oneweb-9008 124.2 5011624
oneweb-9028 124.2 5011624
oneweb-9030 125.0 5011624
oneweb-0012 125.1 5011624
oneweb-9010 125.8 5011624
oneweb-0018 126.7 5011624
oneweb-9023 127.0 5011624
oneweb-9011 127.1 5011624
oneweb-9031 127.8 5011624
oneweb-0081 128.5 5011624
oneweb-9038 128.5 5011624
oneweb-9025 128.6 5011624
oneweb-9013 129.9 5011624
oneweb-0052 130.3 5011624
oneweb-9024 130.6 5011624
oneweb-9022 130.7 5011624
oneweb-9039 131.4 5011624
oneweb-9005 132.3 5011624
oneweb-9009 132.4 5011624
oneweb-9029 133.0 5011624
oneweb-0006 133.9 5011624
oneweb-9012 135.2 5011624
oneweb-9007 136.1 5011624
oneweb-9033 140.1 5011624
oneweb-0069 142.8 5011624
oneweb-9027 142.9 5011624
oneweb-9016 145.6 5011624
oneweb-0090 148.4 5011624
oneweb-9017 152.2 5011624
estrack-new-norcia 154.0 16090392
estrack-santa-maria 154.4 16090392
estrack-malargue 154.5 16090392
estrack-kourou 156.5 16090392
estrack-cebreros 156.6 16090392
estrack-kiruna 159.8 16090392
estrack-redu 159.9 16090392
oneweb-0054 164.0 5011624
