# target delivery_s colour_int
oneweb-0052 72.1 5011624
oneweb-9028 72.1 5011624
oneweb-0069 72.5 5011624
oneweb-9012 72.6 5011624
oneweb-9009 72.6 5011624
oneweb-9010 72.7 5011624
oneweb-9023 72.8 5011624
oneweb-9025 72.9 5011624
oneweb-9026 72.9 5011624
oneweb-0026 73.0 5011624
oneweb-9030 73.0 5011624
oneweb-9015 73.0 5011624
oneweb-9011 73.0 5011624
oneweb-0018 73.2 5011624
oneweb-9022 73.2 5011624
oneweb-9029 73.3 5011624
oneweb-9008 73.3 5011624
oneweb-9016 73.6 5011624
oneweb-9014 73.6 5011624
oneweb-0054 73.8 5011624
oneweb-0081 73.8 5011624
oneweb-9017 73.9 5011624
oneweb-0012 74.0 5011624
oneweb-0006 74.0 5011624
oneweb-9038 74.1 5011624
oneweb-9013 74.1 5011624
oneweb-0093 74.2 5011624
oneweb-9039 74.2 5011624
oneweb-9007 74.4 5011624
oneweb-0066 74.6 5011624
oneweb-9006 74.7 5011624
oneweb-9027 74.8 5011624
oneweb-9032 75.0 5011624
oneweb-9031 75.3 5011624
oneweb-9024 75.4 5011624
oneweb-0090 75.6 5011624
oneweb-0051 78.5 5011624
oneweb-9033 83.1 5011624
estrack-new-norcia 83.8 16090392
estrack-redu 85.2 16090392
estrack-cebreros 85.3 16090392
estrack-kourou 85.3 16090392
estrack-malargue 85.3 16090392
estrack-kiruna 85.4 16090392
estrack-santa-maria 85.4 16090392
