# target delivery_s colour_int
estrack-new-norcia 803.3 16090392
estrack-santa-maria 803.9 16090392
estrack-malargue 803.9 16090392
estrack-cebreros 804.0 16090392
estrack-kourou 804.1 16090392
estrack-kiruna 806.4 16090392
estrack-redu 808.3 16090392
