# target delivery_s colour_int
estrack-new-norcia 59.6 16090392
oneweb-9024 61.0 5011624
oneweb-9014 61.3 5011624
oneweb-0081 61.9 5011624
oneweb-9015 62.0 5011624
oneweb-9011 62.1 5011624
oneweb-9026 62.2 5011624
oneweb-9028 62.3 5011624
oneweb-9007 62.3 5011624
oneweb-0012 62.3 5011624
oneweb-9031 62.4 5011624
oneweb-0006 62.5 5011624
oneweb-9030 62.5 5011624
oneweb-0018 62.5 5011624
oneweb-9039 62.5 5011624
oneweb-9022 62.5 5011624
oneweb-0090 62.5 5011624
oneweb-9010 62.6 5011624
oneweb-9017 62.8 5011624
oneweb-0093 62.9 5011624
oneweb-9008 62.9 5011624
oneweb-0052 63.1 5011624
oneweb-9025 63.1 5011624
oneweb-9009 63.3 5011624
oneweb-9033 63.4 5011624
oneweb-0066 63.6 5011624
oneweb-9016 63.7 5011624
oneweb-9032 63.7 5011624
oneweb-9038 63.9 5011624
oneweb-9006 64.1 5011624
oneweb-9023 64.2 5011624
oneweb-9029 64.2 5011624
oneweb-9013 64.3 5011624
oneweb-0026 64.4 5011624
oneweb-9012 64.5 5011624
oneweb-9027 64.8 5011624
oneweb-0069 65.4 5011624
oneweb-0054 66.9 5011624
oneweb-0051 76.7 5011624
oneweb-0065 221.5 5011624
oneweb-9037 254.5 5011624
estrack-malargue 743.8 16090392
estrack-redu 1309.3 16090392
estrack-kourou 1331.0 16090392
estrack-cebreros 1429.0 16090392
estrack-kiruna 1553.7 16090392
estrack-santa-maria 1639.4 16090392
