# target delivery_s colour_int
oneweb-0049 38.4 5546571
iridium-156 41.8 5546571
skysat-c12 42.6 5546571
iridium-136 45.3 5546571
flock-4h-9 45.9 5546571
flock-4h-35 45.9 5546571
lemur-2-balto 48.4 5546571
iridium-174 48.8 5546571
flock-4h-14 50.3 5546571
iridium-116 50.9 5546571
globalstar-m090 51.4 5546571
flock-4g-22 51.6 5546571
iridium-146 52.1 5546571
oneweb-0614 52.1 5546571
flock-4g-20 52.2 5546571
lemur-2-amanda-svante 52.6 5546571
oneweb-0037 54.6 5546571
lemur-2-teodor 55.4 5546571
orbcomm-fm06 55.5 5546571
orbcomm-fm19 55.9 5546571
orbcomm-fm117 56.4 5546571
lemur-2-sejong-2 56.9 5546571
flock-4g-21 57.1 5546571
flock-4be-3 59.4 5546571
flock-4be-23 59.5 5546571
iridium-171 60.4 5546571
flock-4be-11 61.1 5546571
oneweb-0548 61.4 5546571
globalstar-m079 62.1 5546571
iridium-106 62.2 5546571
lemur-2-tartiflette 62.5 5546571
iridium-104 62.7 5546571
globalstar-m078 63.8 5546571
globalstar-m097 65.3 5546571
flock-4q-30 65.5 5546571
oneweb-0213 65.5 5546571
oneweb-0121 66.0 5546571
flock-4be-2 66.3 5546571
flock-4h-3 67.4 5546571
flock-4g-14 67.6 5546571
globalstar-m094 68.3 5546571
oneweb-0310 69.4 5546571
orbcomm-fm109 70.4 5546571
lemur-2-myra 70.4 5546571
iridium-144 71.1 5546571
lemur-2-ahmed-asrar 71.5 5546571
lemur-2-mario-sousa 71.8 5546571
oneweb-0207 72.3 5546571
oneweb-0473 73.6 5546571
oneweb-0279 73.9 5546571
oneweb-0562 74.0 5546571
lemur-2-roundtripper 74.0 5546571
lemur-2-nimbus2000 74.5 5546571
lemur-2-thefalconer 74.5 5546571
globalstar-m076 74.6 5546571
iridium-113 75.1 5546571
orbcomm-fm113 75.1 5546571
globalstar-m085 75.2 5546571
lemur-1 75.4 5546571
orbcomm-fm27 75.5 5546571
