# target delivery_s colour_int
oneweb-0023 22.8 5546571
estrack-santa-maria 23.6 16090392
estrack-kiruna 23.6 16090392
estrack-malargue 23.7 16090392
estrack-kourou 23.7 16090392
estrack-new-norcia 23.9 16090392
estrack-redu 24.0 16090392
oneweb-0007 24.3 5546571
estrack-cebreros 24.3 16090392
oneweb-0037 33.4 5546571
oneweb-0024 34.8 5546571
oneweb-0006 35.3 5546571
oneweb-0010 41.0 5546571
oneweb-0013 41.6 5546571
oneweb-0025 41.7 5546571
oneweb-0020 42.4 5546571
oneweb-0038 44.9 5546571
oneweb-0008 51.3 5546571
oneweb-0029 52.0 5546571
oneweb-0028 57.9 5546571
oneweb-0012 98.4 5546571
oneweb-0031 111.1 5546571
oneweb-0021 112.4 5546571
oneweb-0011 114.9 5546571
oneweb-0017 119.0 5546571
oneweb-0018 127.4 5546571
oneweb-0027 148.9 5546571
oneweb-0026 183.9 5546571
