# target delivery_s colour_int
globalstar-m085 17.4 5546571
flock-4g-21 17.4 5546571
iridium-161 19.2 5546571
iridium-136 29.0 5546571
globalstar-m089 32.5 5546571
iridium-106 35.3 5546571
lemur-2-peterg 40.4 5546571
flock-4h-35 43.4 5546571
lemur-2-amanda-svante 45.6 5546571
lemur-2-thefalconer 48.4 5546571
lemur-2-myra 50.4 5546571
iridium-174 54.6 5546571
flock-4g-20 54.9 5546571
iridium-146 55.3 5546571
iridium-116 55.8 5546571
orbcomm-fm118 56.9 5546571
oneweb-0213 57.2 5546571
flock-4h-19 57.5 5546571
iridium-144 58.0 5546571
skysat-c12 58.4 5546571
flock-4h-9 58.4 5546571
oneweb-0279 58.5 5546571
skysat-c1 58.8 5546571
flock-4h-14 58.9 5546571
globalstar-m069 59.1 5546571
flock-4be-11 59.3 5546571
lemur-2-deloitte-1 59.5 5546571
lemur-2-balto 59.6 5546571
orbcomm-fm109 59.9 5546571
oneweb-0401 60.4 5546571
iridium-113 60.8 5546571
globalstar-m075 61.0 5546571
lemur-1 61.1 5546571
flock-4be-23 61.3 5546571
oneweb-0037 61.8 5546571
iridium-117 62.0 5546571
oneweb-0614 62.2 5546571
orbcomm-fm27 62.3 5546571
oneweb-0207 62.4 5546571
flock-4q-30 62.9 5546571
oneweb-0121 63.0 5546571
oneweb-0209 63.0 5546571
lemur-2-teodor 63.2 5546571
flock-4be-3 63.4 5546571
oneweb-0473 63.9 5546571
globalstar-m078 64.0 5546571
orbcomm-fm19 64.1 5546571
flock-4g-14 64.1 5546571
lemur-2-ahmed-asrar 64.7 5546571
lemur-2-mario-sousa 65.8 5546571
iridium-171 66.4 5546571
globalstar-m094 66.6 5546571
lemur-2-tartiflette 66.7 5546571
orbcomm-fm117 67.0 5546571
globalstar-m090 67.7 5546571
oneweb-0310 69.6 5546571
flock-4be-7 70.0 5546571
flock-4be-14 70.0 5546571
oneweb-0548 70.4 5546571
lemur-2-deverill-m-t 71.7 5546571
