# target delivery_s colour_int
oneweb-0018 44.4 5011624
oneweb-0026 135.4 5011624
oneweb-0006 138.0 5011624
estrack-redu 1295.6 16090392
estrack-cebreros 1295.7 16090392
estrack-santa-maria 1295.7 16090392
estrack-kiruna 1295.7 16090392
estrack-new-norcia 1295.8 16090392
estrack-kourou 1295.8 16090392
estrack-malargue 1295.8 16090392
